0,-0.37720721,0.68965638,0.25028972,-Infinity,0.29677006,0.023307395,-0.58080616,-2.2162196,-1.9866451,-1.6207109,-0.46220042,-0.069005405,-0.34441738,-Infinity,-0.78625014,-0.82134146,-0.81144039,0.0069805019,-0.62067076,-Infinity,-0.074497769,0.39128941,-Infinity,0.061047723
-0.37720721,0,-Infinity,-0.23022502,-Infinity,0.28312905,-Infinity,0.0033898338,-0.71573283,1.7110662,-Infinity,-Infinity,-0.072596073,-0.54867875,0.75060424,0.71423659,-Infinity,-1.2568638,-Infinity,-Infinity,-Infinity,-2.0079982,-Infinity,1.9827479,-Infinity
0.68965638,-Infinity,0,-2.3414153,1.2296812,-1.0479026,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1.478369,1.1484182,1.0290105,0.71885554,-0.4161244,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,0.85062481,-Infinity,-Infinity,-Infinity
0.25028972,-0.23022502,-2.3414153,0,-0.37975675,0.67684613,-0.37975675,-0.16189026,0.59625322,-0.51790709,-0.69096932,-1.190687,-0.39202684,-1.1194239,-2.1715162,-1.1092716,-1.1443629,0.097681856,0.051683843,-0.50837413,0.62788376,-0.65345258,-2.0111736,-0.12844232,-1.9667218
-Infinity,-Infinity,1.2296812,-0.37975675,0,-0.59032152,-Infinity,-0.1461419,0.52102979,-Infinity,-Infinity,0.30096791,-Infinity,1.2942197,-0.20985771,0.44692182,-0.28131668,-Infinity,-Infinity,-0.68678179,-0.049515065,0.96336544,-0.049515065,0.73460389,-Infinity
0.29677006,0.28312905,-1.0479026,0.67684613,-0.59032152,0,0.10282566,0.24658418,0.79115355,-Infinity,-0.49606898,-0.99578663,-Infinity,-1.7718215,-1.9766159,-0.62668916,-0.94946256,-2.8854716,0.51484817,-0.66178048,0.66863342,-0.025688161,-Infinity,-0.62668916,-Infinity
0.023307395,-Infinity,-Infinity,-0.37975675,-Infinity,0.10282566,0,-0.32846346,-Infinity,-Infinity,0.017926216,-Infinity,-Infinity,-1.7968228,-Infinity,-0.24622536,0.97144629,0.75308871,-Infinity,0.7601372,-Infinity,-1.1767007,-0.74266225,-Infinity,-1.3913577
-0.58080616,0.0033898338,-Infinity,-0.16189026,-0.1461419,0.24658418,-0.32846346,0,-0.22618461,-0.68975735,-1.0169703,-0.1461419,-0.96934221,-1.0399598,-1.2447542,-1.2811218,-0.21760086,-1.0549977,0.97844587,-0.62306597,0.86149861,0.090987893,0.30188282,-Infinity,-1.733107
-2.2162196,-0.71573283,-Infinity,0.59625322,0.52102979,0.79115355,-Infinity,-0.22618461,0,-Infinity,-Infinity,-0.9830476,-Infinity,-0.08510601,0.11556469,0.48466215,-Infinity,-Infinity,-Infinity,-Infinity,-0.41723984,-0.29166254,-Infinity,0.77234422,-Infinity
-1.9866451,1.7110662,-Infinity,-0.51790709,-Infinity,-Infinity,-Infinity,-0.68975735,-Infinity,0,-0.8133713,-Infinity,0.33286903,-Infinity,1.0382863,0.30877148,-Infinity,0.68904634,-0.68975735,-0.82493213,-Infinity,-2.0079982,-Infinity,1.6950658,-0.83636082
-1.6207109,-Infinity,-Infinity,-0.69096932,-Infinity,-0.49606898,0.017926216,-1.0169703,-Infinity,-0.8133713,0,-Infinity,-Infinity,-1.5690388,0.017926216,-0.71158861,-Infinity,0.98087264,-Infinity,1.3735836,-Infinity,0.14969549,-Infinity,-Infinity,-Infinity
-0.46220042,-Infinity,-1.478369,-1.190687,0.30096791,-0.99578663,-Infinity,-0.1461419,-0.9830476,-Infinity,-Infinity,0,0.47101937,0.19560739,-0.61532282,-0.65169047,1.1049777,-2.2173258,0.74767598,-0.28131668,0.23816701,0.12258226,0.23816701,-1.0571556,0.40040181
-0.069005405,-0.072596073,1.1484182,-0.39202684,-Infinity,-Infinity,-Infinity,-0.96934221,-Infinity,0.33286903,-Infinity,0.47101937,0,-0.82826361,0.75870145,-0.66396056,-0.0059046987,0.54299287,-0.96934221,-0.41136981,-0.46725027,-0.49582364,1.3245092,-Infinity,0.67581379
-0.34441738,-0.54867875,1.0290105,-1.1194239,1.2942197,-1.7718215,-1.7968228,-1.0399598,-0.08510601,-Infinity,-1.5690388,0.19560739,-0.82826361,0,-Infinity,1.0571813,0.77077559,-1.3193842,-Infinity,-0.32783669,-Infinity,0.41438805,0.84842653,-0.15921398,0.60519622
