word,topic0,topic1,topic2,topic3,topic4,topic5,topic6,topic7,topic8,topic9,topic10,topic11,topic12,topic13,topic14,topic15,topic16,topic17,topic18,topic19,topic20,topic21,topic22,topic23,topic24
nécessaires,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0040576182,0,0.00072481276,0,0,0,0,0,0,0,0
causes,0,0,0,0.00031263957,0,0,0,0,0,0,0,0,0,0,0.0028403327,0,0,0,0,0,0,0,0,0,0
voulant,0.0010205239,0.0021296735,0,0,0.0013505402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
exposant,0,0,0,0,0,0,0,0,0.00032399158,0,0,0,0,0,0.0056806654,0.00046612803,0,0,0,0,0,0,0,0,0
marques,0,0,0,0,0,0,0,0,0,0,0,0.0027330477,0,0,0.0014201664,0,0,0,0,0,0,0,0,0,0.00063599746
estime,0,0,0,0.0015185351,0,0,0,0,0,0,0,0,0.010848683,0,0,0,0,0,0.0029610328,0,0,0,0,0,0
faisons,0,0,0,0.00013398839,0,0,0.00077603601,0.00027536831,0,0,0.0033557047,0,0,0,0.0010144045,0,0,0,0.0016581784,0,0,0,0,0,0.0036039856
exciter,0,0.0018930431,0,0,0.0015006002,0,0,0,0,0.00022925264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00084799661
travailler,0,0,0,0,0,0.00016254876,0,0,0,0,0,0,0,0,0.00081152364,0,0,0,0,0,0,0,0,0,0.0004239983
permis,0,0,0,0,0,0,0.0029489368,0,0,0,0,0.0030285123,0,0,0.0052749036,0,0,0,0.0010659718,0,0,0.00074349442,0,0,0
accordé,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00060864273,0,0,0,0,0,0,0.00022876752,0,0,0
présentes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0058835464,0,0,0,0,0,0,0,0,0,0
permettons,0,0,0,0,0,0,0,0,0,0,0,0,0.00011300712,0,0.0016230473,0,0,0,0,0,0,0,0,0,0
accordons,0,0.00047326077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ladite,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0012172855,0,0,0,0,0,0,0,0,0,0
imprimeur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0034489755,0,0,0,0,0,0,0,0,0,0.00021199915
voudra,0,0,0,0,0,0.0014629389,0,0,0,0,0,0,0,0,0.0018259282,0,0,0.00052966102,0,0,0,0,0,0,0
choisir,0,0,0,0,0,0,0,0.000068842076,0,0,0.00093214019,0,0.0035032207,0,0,0.0026413922,0,0,0,0,0,0,0,0,0
marge,0,0,0,0,0,0,0,0,0,0,0,0.000073866155,0,0,0.00081152364,0,0,0,0,0,0,0,0,0,0
volume,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00060864273,0,0,0,0,0,0,0,0,0,0.00021199915
caractère,0,0,0,0,0,0,0,0,0,0.0093993581,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0010905125,0
autant,0,0,0,0,0,0.0043346337,0,0,0,0,0.0057792692,0,0.0080235055,0,0.0036518564,0,0,0,0,0.0048353673,0,0,0,0,0
semblera,0,0,0,0,0,0,0,0,0,0,0,0.000073866155,0,0,0.0012172855,0,0,0,0,0,0,0,0,0,0
vendre,0,0,0,0,0,0,0.0003104144,0,0,0,0,0,0,0,0.0079123554,0,0,0,0,0,0,0,0,0,0
débiter,0,0,0,0,0,0,0.0004656216,0,0,0,0,0,0,0,0.0042604991,0,0,0,0,0,0,0,0,0,0
partout,0,0,0,0.0030817329,0,0.00048764629,0,0,0.00032399158,0,0,0,0,0,0,0,0,0,0,0.0052191266,0,0,0,0,0
royaume,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0024345709,0,0,0,0.00059220656,0,0,0,0,0,0.00084799661
