Source,Target,Weight,Type
112,12,0.0042780749,undirected
112,13,0.020320856,undirected
112,18,0.0085561497,undirected
112,21,0.068449198,undirected
113,0,0.021459227,undirected
113,2,0.0064377682,undirected
113,3,0.03111588,undirected
113,4,0.069742489,undirected
113,5,0.040772532,undirected
113,7,0.0010729614,undirected
113,8,0.12339056,undirected
113,11,0.038626609,undirected
113,13,0.060085837,undirected
113,15,0.016094421,undirected
113,20,0.0032188841,undirected
113,21,0.042918455,undirected
114,0,0.026824034,undirected
114,3,0.055793991,undirected
114,4,0.02360515,undirected
114,5,0.043991416,undirected
114,7,0.020386266,undirected
114,8,0.17060086,undirected
114,9,0.0032188841,undirected
114,11,0.025751073,undirected
114,13,0.026824034,undirected
114,18,0.0010729614,undirected
114,21,0.057939914,undirected
114,24,0.0010729614,undirected
115,1,0.093478261,undirected
115,5,0.0043478261,undirected
115,7,0.015217391,undirected
115,8,0.0054347826,undirected
115,9,0.029347826,undirected
115,11,0.013043478,undirected
115,12,0.040217391,undirected
115,13,0.002173913,undirected
115,14,0.21956522,undirected
115,16,0.016304348,undirected
115,18,0.016304348,undirected
115,22,0.002173913,undirected
116,0,0.020234292,undirected
116,1,0.08200213,undirected
116,3,0.043663472,undirected
116,5,0.041533546,undirected
116,7,0.024494143,undirected
116,9,0.01171459,undirected
116,10,0.0031948882,undirected
116,11,0.038338658,undirected
116,12,0.056443024,undirected
116,13,0.024494143,undirected
116,15,0.0021299255,undirected
116,17,0.01171459,undirected
116,18,0.02342918,undirected
116,19,0.0053248136,undirected
116,20,0.0010649627,undirected
116,24,0.0010649627,undirected
117,0,0.026910657,undirected
117,1,0.08073197,undirected
117,2,0.010764263,undirected
117,3,0.027987083,undirected
117,5,0.033369214,undirected
117,7,0.044133477,undirected
117,8,0.0010764263,undirected
117,9,0.012917115,undirected
117,12,0.062432723,undirected
117,13,0.012917115,undirected
117,15,0.0075349839,undirected
117,16,0.0010764263,undirected
117,18,0.037674919,undirected
117,19,0.0075349839,undirected
117,20,0.013993541,undirected
117,21,0.010764263,undirected
118,0,0.037393162,undirected
118,1,0.13354701,undirected
118,2,0.023504274,undirected
118,4,0.013888889,undirected
118,5,0.027777778,undirected
118,7,0.037393162,undirected
118,9,0.017094017,undirected
118,11,0.025641026,undirected
118,12,0.036324786,undirected
118,13,0.027777778,undirected
118,16,0.0032051282,undirected
118,17,0.0042735043,undirected
118,18,0.038461538,undirected
118,21,0.0053418803,undirected
118,24,0.0021367521,undirected
119,0,0.075854701,undirected
119,1,0.091880342,undirected
119,2,0.016025641,undirected
119,3,0.063034188,undirected
119,5,0.052350427,undirected
119,7,0.043803419,undirected
119,11,0.014957265,undirected
119,12,0.020299145,undirected
119,13,0.037393162,undirected
119,14,0.0021367521,undirected
119,17,0.0021367521,undirected
119,18,0.0064102564,undirected
119,19,0.0042735043,undirected
119,23,0.0021367521,undirected
120,0,0.047058824,undirected
120,1,0.019251337,undirected
120,3,0.071657754,undirected
120,5,0.10374332,undirected
120,6,0.0021390374,undirected
120,7,0.12727273,undirected
120,8,0.0042780749,undirected
120,11,0.011764706,undirected
120,21,0.0085561497,undirected
121,0,0.055016181,undirected
121,1,0.038834951,undirected
121,3,0.076591154,undirected
121,5,0.030204962,undirected
121,7,0.09600863,undirected
121,8,0.029126214,undirected
121,11,0.028047465,undirected
121,12,0.0097087379,undirected
121,13,0.014023732,undirected
121,18,0.0021574973,undirected
121,19,0.02373247,undirected
121,21,0.0086299892,undirected
121,23,0.0010787487,undirected
122,0,0.098017621,undirected
122,1,0.064977974,undirected
122,3,0.056167401,undirected
122,5,0.068281938,undirected
122,6,0.0033039648,undirected
122,7,0.014317181,undirected
122,11,0.033039648,undirected
122,12,0.012114537,undirected
122,13,0.025330396,undirected
122,16,0.0044052863,undirected
122,17,0.028634361,undirected
122,18,0.013215859,undirected
122,19,0.0022026432,undirected
122,21,0.0022026432,undirected
123,0,0.048648649,undirected
123,1,0.054054054,undirected
123,3,0.060540541,undirected
123,5,0.10054054,undirected
123,7,0.046486486,undirected
123,11,0.023783784,undirected
123,12,0.0032432432,undirected
123,13,0.0086486486,undirected
123,18,0.034594595,undirected
123,19,0.012972973,undirected
124,0,0.044181034,undirected
124,1,0.067887931,undirected
124,3,0.032327586,undirected
124,5,0.089439655,undirected
124,6,0.0032327586,undirected
124,7,0.0625,undirected
124,8,0.0075431034,undirected
124,11,0.029094828,undirected
124,13,0.1012931,undirected
124,15,0.0043103448,undirected
124,21,0.010775862,undirected
124,24,0.0010775862,undirected
125,0,0.080472103,undirected
125,1,0.071888412,undirected
125,2,0.015021459,undirected
125,3,0.06223176,undirected
125,4,0.0021459227,undirected
125,5,0.075107296,undirected
125,7,0.026824034,undirected
125,11,0.045064378,undirected
125,12,0.0096566524,undirected
125,13,0.022532189,undirected
125,21,0.010729614,undirected
125,23,0.0010729614,undirected
126,0,0.037715517,undirected
126,1,0.11099138,undirected
126,2,0.015086207,undirected
126,3,0.059267241,undirected
126,5,0.049568966,undirected
126,6,0.0021551724,undirected
126,7,0.047413793,undirected
126,10,0.0010775862,undirected
126,11,0.044181034,undirected
126,12,0.0010775862,undirected
126,15,0.0021551724,undirected
126,18,0.012931034,undirected
126,19,0.015086207,undirected
126,21,0.02262931,undirected
126,22,0.0010775862,undirected
127,0,0.028634361,undirected
127,1,0.10022026,undirected
127,2,0.0011013216,undirected
127,3,0.057268722,undirected
127,5,0.079295154,undirected
127,7,0.046255507,undirected
127,8,0.0055066079,undirected
127,11,0.019823789,undirected
127,12,0.0055066079,undirected
127,13,0.025330396,undirected
127,19,0.037444934,undirected
127,21,0.0011013216,undirected
128,0,0.062844542,undirected
128,1,0.071664829,undirected
128,3,0.041896362,undirected
128,5,0.12017641,undirected
128,7,0.069459757,undirected
128,12,0.0044101433,undirected
128,13,0.034178611,undirected
128,17,0.0044101433,undirected
128,18,0.019845645,undirected
129,0,0.025945946,undirected
129,1,0.046486486,undirected
129,3,0.087567568,undirected
129,5,0.035675676,undirected
129,7,0.13297297,undirected
129,11,0.024864865,undirected
129,13,0.027027027,undirected
129,21,0.034594595,undirected
130,0,0.028729282,undirected
130,1,0.087292818,undirected
130,3,0.034254144,undirected
130,4,0.008839779,undirected
130,5,0.054143646,undirected
130,7,0.072928177,undirected
130,8,0.040883978,undirected
130,11,0.048618785,undirected
130,12,0.0077348066,undirected
130,13,0.033149171,undirected
130,19,0.0011049724,undirected
130,21,0.012154696,undirected
131,0,0.033879781,undirected
131,1,0.071038251,undirected
131,3,0.077595628,undirected
131,4,0.0054644809,undirected
131,5,0.081967213,undirected
131,6,0.0010928962,undirected
131,7,0.040437158,undirected
131,11,0.031693989,undirected
131,12,0.0032786885,undirected
131,13,0.024043716,undirected
131,19,0.033879781,undirected
131,21,0.0098360656,undirected
132,0,0.05326087,undirected
132,1,0.056521739,undirected
132,3,0.068478261,undirected
132,5,0.051086957,undirected
132,7,0.045652174,undirected
132,11,0.038043478,undirected
132,13,0.042391304,undirected
132,17,0.002173913,undirected
132,18,0.02826087,undirected
133,0,0.028907923,undirected
133,1,0.064239829,undirected
133,3,0.029978587,undirected
133,5,0.078158458,undirected
133,6,0.0010706638,undirected
133,7,0.062098501,undirected
133,8,0.023554604,undirected
133,11,0.037473233,undirected
133,13,0.057815846,undirected
133,15,0.0085653105,undirected
133,16,0.0010706638,undirected
133,21,0.052462527,undirected
134,1,0.0021762786,undirected
134,4,0.050054407,undirected
134,5,0.0043525571,undirected
134,7,0.022850925,undirected
134,10,0.0032644178,undirected
134,11,0.0010881393,undirected
134,12,0.036996736,undirected
134,13,0.022850925,undirected
134,14,0.15886834,undirected
134,15,0.0032644178,undirected
134,16,0.0087051143,undirected
134,17,0.007616975,undirected
134,18,0.032644178,undirected
134,19,0.026115343,undirected
134,21,0.038084875,undirected
135,0,0.031016043,undirected
135,1,0.011764706,undirected
135,3,0.0021390374,undirected
135,4,0.11122995,undirected
135,5,0.0010695187,undirected
135,7,0.0010695187,undirected
135,8,0.0021390374,undirected
135,11,0.056684492,undirected
135,12,0.0096256684,undirected
135,13,0.087700535,undirected
135,15,0.014973262,undirected
135,18,0.011764706,undirected
135,19,0.0064171123,undirected
135,20,0.032085561,undirected
135,21,0.079144385,undirected
136,0,0.023758099,undirected
136,1,0.0010799136,undirected
136,3,0.023758099,undirected
136,4,0.10691145,undirected
136,5,0.028077754,undirected
136,7,0.020518359,undirected
136,8,0.029157667,undirected
136,11,0.025917927,undirected
136,12,0.0010799136,undirected
136,13,0.068034557,undirected
136,15,0.028077754,undirected
136,18,0.020518359,undirected
136,19,0.0086393089,undirected
136,21,0.066954644,undirected
137,0,0.032608696,undirected
137,3,0.02826087,undirected
137,4,0.10652174,undirected
137,5,0.0097826087,undirected
137,7,0.034782609,undirected
137,8,0.016304348,undirected
137,11,0.029347826,undirected
137,12,0.022826087,undirected
137,17,0.002173913,undirected
137,18,0.017391304,undirected
137,21,0.09673913,undirected
138,0,0.037674919,undirected
138,3,0.05489774,undirected
138,4,0.066738428,undirected
138,5,0.035522067,undirected
138,7,0.0086114101,undirected
138,11,0.041980624,undirected
138,12,0.0043057051,undirected
138,13,0.015069968,undirected
138,18,0.01722282,undirected
138,19,0.019375673,undirected
138,21,0.10548977,undirected
139,0,0.034371643,undirected
139,3,0.039742213,undirected
139,4,0.048335124,undirected
139,5,0.062298604,undirected
139,7,0.067669173,undirected
139,11,0.044038668,undirected
139,12,0.0021482277,undirected
139,13,0.0064446831,undirected
139,19,0.01396348,undirected
139,21,0.092373792,undirected
140,0,0.019438445,undirected
140,3,0.045356371,undirected
140,4,0.099352052,undirected
140,5,0.048596112,undirected
140,7,0.02699784,undirected
140,8,0.010799136,undirected
140,11,0.017278618,undirected
140,13,0.014038877,undirected
140,15,0.0021598272,undirected
140,18,0.032397408,undirected
140,19,0.019438445,undirected
140,20,0.0086393089,undirected
140,21,0.079913607,undirected
141,0,0.026766595,undirected
141,3,0.049250535,undirected
141,4,0.11563169,undirected
141,5,0.037473233,undirected
141,7,0.023554604,undirected
141,11,0.027837259,undirected
141,13,0.024625268,undirected
141,18,0.017130621,undirected
141,19,0.0021413276,undirected
141,21,0.079229122,undirected
142,0,0.012917115,undirected
142,1,0.0010764263,undirected
142,2,0.0032292788,undirected
142,3,0.021528525,undirected
142,4,0.10118407,undirected
142,5,0.036598493,undirected
142,7,0.073196986,undirected
142,8,0.022604952,undirected
142,11,0.023681378,undirected
142,13,0.015069968,undirected
142,14,0.0021528525,undirected
142,18,0.012917115,undirected
142,19,0.039827772,undirected
142,20,0.0010764263,undirected
142,21,0.074273412,undirected
143,0,0.032608696,undirected
143,1,0.0010869565,undirected
143,3,0.018478261,undirected
143,4,0.04673913,undirected
143,5,0.047826087,undirected
143,6,0.0032608696,undirected
143,7,0.079347826,undirected
143,9,0.0010869565,undirected
